display  D   display_settings.c:191  debug_display_settings           [   0.17487] color: 32 (rgba 8880), depth: 32, stencil: 0, acc: 0000, samples: 7/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.17488] Score is : 585
display  D   display_settings.c:191  debug_display_settings           [   0.17489] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 0/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.17491] Score is : 641
display  D   display_settings.c:191  debug_display_settings           [   0.17492] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 1/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.17493] Score is : 609
display  D   display_settings.c:191  debug_display_settings           [   0.17494] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 2/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.17495] Score is : 598
display  D   display_settings.c:191  debug_display_settings           [   0.17496] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 3/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.17497] Score is : 593
display  D   display_settings.c:191  debug_display_settings           [   0.17499] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 4/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.17500] Score is : 589
display  D   display_settings.c:191  debug_display_settings           [   0.17501] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 5/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.17502] Score is : 587
display  D   display_settings.c:191  debug_display_settings           [   0.17503] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 6/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.17505] Score is : 586
display  D   display_settings.c:191  debug_display_settings           [   0.17506] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 7/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.17507] Score is : 585
display  D   display_settings.c:191  debug_display_settings           [   0.17508] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 0/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.17509] Score is : 641
display  D   display_settings.c:191  debug_display_settings           [   0.17510] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 1/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.17512] Score is : 609
display  D   display_settings.c:191  debug_display_settings           [   0.17513] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.17514] Score is : 598
display  D   display_settings.c:191  debug_display_settings           [   0.17515] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.17516] Score is : 593
display  D   display_settings.c:191  debug_display_settings           [   0.17517] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.17519] Score is : 589
display  D   display_settings.c:191  debug_display_settings           [   0.17520] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 5/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.17521] Score is : 587
display  D   display_settings.c:191  debug_display_settings           [   0.17522] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 6/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.17523] Score is : 586
display  D   display_settings.c:191  debug_display_settings           [   0.17524] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 7/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.17526] Score is : 585
display  D   display_settings.c:191  debug_display_settings           [   0.17527] color: 32 (rgba 8880), depth: 24, stencil: 4, acc: 0000, samples: 0/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.17528] Score is : 641
